Date,CPIAUCSL,UNRATE,FEDFUNDS,INDPRO,Inflation_MoM,Inflation_YoY,IP_MoM,News_Sentiment,Article_Count
2017-10-01,246.626,4.2,1.15,101.0247,0.07750522450138408,2.020757753132485,1.231820304342679,0.20760515441025534,104.0
2017-11-01,247.284,4.2,1.16,101.2664,0.2668007428251684,2.172493864295566,0.23924842142566405,0.06946731546301056,110.0
2017-12-01,247.805,4.1,1.3,101.4644,0.21068892447551058,2.129930719552253,0.19552388551384858,0.014163793934205053,98.0
2018-01-01,248.859,4.0,1.41,101.4625,0.42533443635115464,2.151318868063945,-0.0018725779682204902,0.017135832374402152,127.0
2018-02-01,249.529,4.1,1.42,101.7085,0.26922876006090224,2.263468931091861,0.24245410866083894,0.10975024067555313,135.0
2018-03-01,249.577,4.0,1.51,102.2067,0.0192362410782021,2.3309497646499366,0.4898312333777355,-0.13234046105540884,129.0
2018-04-01,250.227,4.0,1.69,103.3329,0.2604406656061986,2.4709963021052994,1.1018847101021745,0.049355381966701584,133.0
2018-05-01,250.792,3.8,1.7,102.4024,0.2257949781598212,2.781921607842497,-0.9004876472062606,0.04079406507181254,127.0
2018-06-01,251.018,4.0,1.82,103.198,0.09011451720948305,2.8075506935940187,0.7769349155879013,0.029381560718840256,112.0
2018-07-01,251.214,3.8,1.91,103.3646,0.07808204989283585,2.854124785561929,0.1614372371557593,-0.033504763418542485,126.0
2018-08-01,251.663,3.8,1.91,104.0327,0.17873207703393845,2.6429238568742575,0.6463528132455432,-0.08674970251263776,122.0
2018-09-01,252.182,3.7,1.95,104.1004,0.2062281702117419,2.332055105808828,0.06507569254665668,-0.05997822102524827,107.0
2018-10-01,252.772,3.8,2.19,103.9856,0.2339580144498754,2.492032470218053,-0.11027815455079137,-0.06951541039458614,141.0
2018-11-01,252.594,3.8,2.2,104.0681,-0.07041919199911595,2.147328577667773,0.0793379083257717,-0.02095683785155416,125.0
2018-12-01,252.767,3.9,2.27,104.0936,0.06848935445813442,2.0023809043401064,0.02450318589461986,-0.22872955325042962,112.0
2019-01-01,252.561,4.0,2.4,103.4021,-0.08149798035343991,1.4875893578291333,-0.6643059707801324,-0.09933531499010022,118.0
2019-02-01,253.319,3.8,2.4,102.8371,0.3001255142321968,1.5188615351321877,-0.5464105661296959,-0.05046015423299237,99.0
2019-03-01,254.277,3.8,2.41,102.8757,0.37817929172307974,1.8831863513063984,0.037535091907470175,-0.19629523589537712,128.0
2019-04-01,255.233,3.7,2.42,102.274,0.3759679404743643,2.000583470209061,-0.584880588904857,0.05016633034726485,109.0
2019-05-01,255.296,3.6,2.39,102.392,0.02468332856644384,1.7959105553606136,0.1153763419832865,-0.26199358416630364,123.0
2019-06-01,255.213,3.6,2.38,102.4375,-0.03251128102280676,1.671194894390049,0.04443706539574155,-0.17639699504555514,36.0
2019-07-01,255.802,3.7,2.4,101.9408,0.23078761661827762,1.826331335037068,-0.4848810250152602,0.3558387533938956,42.0
2019-08-01,256.036,3.6,2.13,102.639,0.09147700174354512,1.7376412106666406,0.6849073187575438,-0.16339677054848936,27.0
2019-09-01,256.43,3.5,2.04,102.2917,0.1538846099767177,1.6844977040391562,-0.3383704050117342,0.2231497456523357,32.0
2019-10-01,257.155,3.6,1.83,101.4281,0.2827282299262768,1.7339736996186295,-0.8442522707120981,0.13290894479275897,52.0
2019-11-01,257.879,3.6,1.55,101.9372,0.281542260504386,2.092290394862917,0.5019319103877651,0.2451785090379417,55.0
2019-12-01,258.63,3.6,1.55,101.7003,0.29122185210892493,2.3195274699624457,-0.23239798621111918,0.17705657780575362,69.0
2020-01-01,259.127,3.6,1.55,101.0338,0.19216641534238743,2.599767976845202,-0.6553569655153413,0.136160831003891,76.0
2020-02-01,259.25,3.5,1.58,101.3735,0.04746707213065804,2.3413166797595197,0.3362241150981271,0.1179491722541132,83.0
2020-03-01,258.076,4.4,0.65,97.4078,-0.4528447444551498,1.4940399642909163,-3.9119691043517424,-0.3348102631755363,196.0
2020-04-01,256.032,14.8,0.05,84.5619,-0.7920147553434065,0.3130472940411133,-13.187752931490081,-0.2469970392012576,147.0
2020-05-01,255.802,13.2,0.05,85.9604,-0.08983252093487382,0.1982013035848551,1.6538180906531252,-0.1621745940938126,208.0
2020-06-01,257.042,11.0,0.08,91.5934,0.4847499237691677,0.7166562831830481,6.553017435935615,-0.2053986183077475,138.0
2020-07-01,258.352,10.2,0.09,95.0256,0.5096443382793581,0.9968647625897997,3.7472132271539227,-0.1964421477726622,192.0
